province ,location,co ordinates,morph,sex,age,notes/observation,bird condition
Gauteng,Magaliesburg,S25.959327 E27.479418,light,female,adult,nest,1
Gauteng,Magaliesburg,S25.95156 E27.46652,light,male,adult,nest,1
Gauteng,Magaliesburg,S25.95156 E27.46652,light,female,adult,nest,1
Gauteng,Boksberg,S26.564214 E28.213261,light,male,adult,nest,1
Gauteng,Bela Bela,S24.874889 E28.388628,light,female,adult,incidental,1
Gauteng,Pretoria,S25.794798 E28.251233,light,female,adult,nest,1
Gauteng,Pretoria,S25.815 E28.294,light,female,adult,nest,1
Gauteng,Krugersdorp,S26.139 E27.716,light,female,adult,nest,1
Gauteng,Krugersdorp,S26.0748 E27.7956,light,male,adult,nest,1
Gauteng,Randburg,S26.068517 E27.958616,light,female,adult,nest,1
Gauteng,Randburg,S26.068517 E27.958616,light,male,adult,nest,1
Gauteng,Johannesburg,S26.061521 E28.121723,light,male,adult,incidental,1
Gauteng,Johannesburg,S25.984 E27.921,light,female,adult,nest,1
Gauteng,Johannesburg,S25.984 E27.921,light,male,adult,nest,1
Gauteng,Johannesburg,S26.002319 E27.751830,light,male,adult,incidental,1
Gauteng,Johannesburg,S26.008207 E27.739777,light,female,adult,incidental,1
Gauteng,Johannesburg,S25.902688 E27.884415,light,female,adult,nest,1
Gauteng,Johannesburg,S25.902688 E27.884415,light,male,adult,nest,1
Gauteng,Johannesburg,S26.072279 E27.773630,light,male,adult,incidental,1
Gauteng,Johannesburg,S26.067019 E27.799365,light,male,adult,incidental,1
Gauteng,Pretoria,S25.77586 E28.52860,light,female,adult,nest,1
Gauteng,Pretoria,S25.77586 E28.52860,light,male,adult,nest,1
Gauteng,Pretoria,S25.72892 E28.27236,light,female,adult,nest,1
Gauteng,Pretoria,S25.72892 E28.27236,light,male,adult,nest,1
Gauteng,Johannesburg,S25.946102 E27.881194,light,female,adult,nest,1
Gauteng,Johannesburg,S25.946102 E27.881194,light,male,adult,nest,1
Gauteng,Johannesburg,S25.9812 E27.7884,light,female,adult,nest,1
Gauteng,Vereeniging,S26.681210  E27.943559,light,male,adult,nest,1
Mpumalanga,Nelspruit,S25.402038 E30.946961,light,male,adult,nest,1
Mpumalanga,Nelspruit,S25.402038 E30.946961,light,female,adult,nest,1
Mpumalanga,Nelspruit,S25.441460 E30.919380,light,male,adult,nest,1
Mpumalanga,Nelspruit,S25.441460 E30.919380,light,female,adult,nest,1
Mpumalanga,Nelspruit,S25.636667 E30.940000,light,male,adult,nest,1
Mpumalanga,Nelspruit,S25.636667 E30.940000,light,female,adult,nest,1
Mpumalanga,Dullstroom,S25.440996 E30.095877,light,male,adult,nest,3
Mpumalanga,Dullstroom,S25.440996 E30.095877,light,female,adult,nest,1
Mpumalanga,Barbeton,S25.720000 E30.953333,light,male,adult,nest,1
Mpumalanga,Barbeton,S25.720000 E30.953333,light,female,adult,nest,1
Mpumalanga,Elands Valley,S25.423333 E30.653333,light,female,adult,nest,1
Mpumalanga,Elands Valley,S25.423333 E30.653333,light,male,adult,nest,1
Mpumalanga,Elands Valley,S25.643983 E30.374233,light,female,adult,nest,1
Mpumalanga,Elands Valley,S25.643983 E30.374233,light,male,adult,nest,1
Mpumalanga,Elands Valley,S25.604327 E30.274037,light,female,adult,nest,1
Mpumalanga,Elands Valley,S25.604327 E30.274037,light,male,adult,nest,1
Mpumalanga,"Glenthorpe forest, White River",S25.726667 E30.773333,light,female,adult,nest,1
Mpumalanga,"Glenthorpe forest, White River",S25.726667 E30.773333,light,male,adult,nest,1
Mpumalanga,"Crocodile valley, Nelspruit",S25.486599 E31.043572,light,male,adult,nest,1
Mpumalanga,"Crocodile valley, Nelspruit",S25.465282 E31.035562,light,male,adult,nest,1
Mpumalanga,"Chimp eden, Barbeton road",S25.57788 E31.00550,light,male,adult,nest,1
Mpumalanga,"Chimp eden, Barbeton road",S25.57788 E31.00550,light,female,adult,nest,1
Mpumalanga,Nelspruit,S25.507029 E30.996184,light,female,adult,nest,1
Mpumalanga,Nelspruit,S25.446457 E30.986075,light,male,adult,nest,1
Mpumalanga,Nelspruit,S25.446457 E30.986075,light,female,adult,nest,1
Mpumalanga,White River,S25.305567 E30.993207,light,male,adult,nest,1
Mpumalanga,White River,S25.305567 E30.993207,light,female,adult,nest,1
