#,state,site/cluster,X,Y,darkbirds,light birds,total birds,%dark,rainfall
3,root,DURBAN W,30.95,-29.97,18,51,69,0.2608695652,82.7375
8,root,JONKERSHOEK,18.93,-33.96,2,1,3,0.666666667,87.1775
9,root,kistenbosch,18.43,-33.98,65,15,80,0.8125,113.6591
12,root,SETTLERS,28.55,-24.95,15,114,129,0.1162790698,53.635
13,root,STRAN,18.85,-34.14,6,2,8,0.8,47.135
43,root,Calitzdorp,21.69,-33.49,8,5,13,0.6153846154,29.12
46,root,Hermanus,19.15,-34.41,1,3,4,0.25,41.9342
